date,visitors,checkouts
2025-05-27,121.0,287
2025-05-28,120.0,290
2025-05-29,152.0,237
2025-05-30,174.0,309
2025-05-31,203.0,468
2025-06-01,215.0,483
2025-06-02,109.0,183
2025-06-03,143.0,244
2025-06-04,144.0,269
2025-06-05,134.0,265
2025-06-06,197.0,417
2025-06-07,207.0,386
2025-06-08,192.0,376
2025-06-09,129.0,289
2025-06-10,125.0,192
2025-06-11,151.0,264
2025-06-12,162.0,358
2025-06-13,157.0,376
2025-06-14,214.0,430
2025-06-15,216.0,438
2025-06-16,132.0,212
2025-06-17,168.0,327
2025-06-18,136.0,276
2025-06-19,133.0,231
2025-06-20,156.0,276
2025-06-21,187.0,351
2025-06-22,208.0,316
2025-06-23,125.0,227
2025-06-24,144.0,246
2025-06-25,152.0,277
2025-06-26,145.0,234
2025-06-27,191.0,456
2025-06-28,196.0,410
2025-06-29,250.0,544
2025-06-30,129.0,295
2025-07-01,167.0,333
2025-07-02,163.0,258
2025-07-03,192.0,391
2025-07-04,206.0,429
2025-07-05,250.0,561
2025-07-06,257.0,496
2025-07-07,158.0,257
2025-07-08,167.0,297
2025-07-09,157.0,292
2025-07-10,178.0,381
2025-07-11,222.0,459
2025-07-12,243.0,451
2025-07-13,231.0,574
2025-07-14,162.0,341
2025-07-15,185.0,321
2025-07-16,166.0,265
2025-07-17,187.0,309
2025-07-18,210.0,366
2025-07-19,222.0,368
2025-07-20,255.0,430
2025-07-21,168.0,299
2025-07-22,196.0,327
2025-07-23,195.0,467
2025-07-24,164.0,259
2025-07-25,195.0,394
2025-07-26,247.0,471
2025-07-27,257.0,637
2025-07-28,167.0,269
2025-07-29,237.0,449
2025-07-30,188.0,464
2025-07-31,202.0,477
2025-08-01,224.0,519
2025-08-02,249.0,437
2025-08-03,245.0,409
2025-08-04,171.0,370
2025-08-05,168.0,408
2025-08-06,176.0,361
2025-08-07,177.0,366
2025-08-08,211.0,375
2025-08-09,274.0,621
2025-08-10,221.0,372
2025-08-11,170.0,310
2025-08-12,155.0,298
2025-08-13,172.0,345
2025-08-14,201.0,350
2025-08-15,450.0,339
2025-08-16,223.0,470
2025-08-17,239.0,427
2025-08-18,170.0,353
2025-08-19,169.0,279
2025-08-20,183.0,362
2025-08-21,185.0,376
2025-08-22,200.0,310
2025-08-23,272.0,499
2025-08-24,259.0,423
2025-08-25,129.0,201
2025-08-26,182.0,453
2025-08-27,170.0,309
2025-08-28,197.0,455
2025-08-29,198.0,347
2025-08-30,238.0,519
2025-08-31,257.0,580
2025-09-01,132.0,276
2025-09-02,121.0,238
2025-09-03,134.0,256
2025-09-04,137.0,253
2025-09-05,160.0,388
2025-09-06,226.0,526
2025-09-07,216.0,532
2025-09-08,101.0,164
2025-09-09,153.0,341
2025-09-10,171.0,416
2025-09-11,160.0,268
2025-09-12,147.0,230
2025-09-13,192.0,430
2025-09-14,229.0,475
2025-09-15,109.0,255
2025-09-16,146.0,239
2025-09-17,151.0,346
2025-09-18,131.0,222
2025-09-19,169.0,281
2025-09-20,151.0,251
2025-09-21,194.0,449
2025-09-22,116.0,251
2025-09-23,121.0,244
2025-09-24,164.0,304
2025-09-25,123.0,292
2025-09-26,163.0,308
2025-09-27,201.0,465
2025-09-28,231.0,447
2025-09-29,98.0,183
2025-09-30,157.0,308
2025-10-01,140.0,252
2025-10-02,130.0,292
2025-10-03,176.0,352
2025-10-04,202.0,349
2025-10-05,200.0,479
2025-10-06,121.0,227
2025-10-07,134.0,273
2025-10-08,141.0,339
2025-10-09,154.0,327
2025-10-10,193.0,312
2025-10-11,181.0,441
2025-10-12,241.0,512
2025-10-13,90.0,165
2025-10-14,137.0,224
2025-10-15,148.0,339
2025-10-16,149.0,315
2025-10-17,160.0,325
2025-10-18,196.0,469
2025-10-19,202.0,462
2025-10-20,111.0,183
2025-10-21,152.0,275
2025-10-22,145.0,253
2025-10-23,134.0,300
2025-10-24,183.0,280
2025-10-25,204.0,422
2025-10-26,222.0,502
2025-10-27,129.0,306
2025-10-28,127.0,233
2025-10-29,131.0,304
2025-10-30,156.0,251
2025-10-31,179.0,420
2025-11-01,199.0,323
2025-11-02,211.0,400
2025-11-03,139.0,319
2025-11-04,131.0,216
2025-11-05,148.0,255
2025-11-06,141.0,313
2025-11-07,166.0,368
2025-11-08,216.0,462
2025-11-09,222.0,487
2025-11-10,132.0,269
2025-11-11,159.0,278
2025-11-12,140.0,258
2025-11-13,155.0,260
2025-11-14,165.0,397
2025-11-15,204.0,425
2025-11-16,208.0,395
2025-11-17,121.0,237
2025-11-18,148.0,362
2025-11-19,127.0,209
2025-11-20,176.0,367
2025-11-21,154.0,308
2025-11-22,181.0,382
2025-11-23,227.0,344
2025-11-24,131.0,310
2025-11-25,149.0,362
2025-11-26,149.0,307
2025-11-27,144.0,316
2025-11-28,156.0,377
2025-11-29,201.0,443
2025-11-30,199.0,328
2025-12-01,134.0,278
2025-12-02,137.0,288
2025-12-03,127.0,244
2025-12-04,140.0,313
2025-12-05,176.0,428
2025-12-06,191.0,463
2025-12-07,197.0,384
2025-12-08,123.0,198
2025-12-09,143.0,355
2025-12-10,132.0,308
2025-12-11,137.0,222
2025-12-12,173.0,418
2025-12-13,178.0,421
2025-12-14,188.0,379
2025-12-15,109.0,227
2025-12-16,136.0,258
2025-12-17,144.0,223
2025-12-18,167.0,306
2025-12-19,182.0,419
2025-12-20,197.0,296
2025-12-21,209.0,383
2025-12-22,104.0,197
2025-12-23,139.0,283
2025-12-24,135.0,326
2025-12-25,149.0,275
2025-12-26,157.0,289
2025-12-27,207.0,463
2025-12-28,232.0,452
2025-12-29,118.0,203
2025-12-30,146.0,285
2025-12-31,150.0,246
